,zhonghnanindown,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,average
5349,45,27,41,35,36,44,41,29,46,26,37,32,29,40,33.33333333
5350,36,45,27,41,35,36,44,41,29,46,26,37,32,29,37.66666667
5351,46,36,45,27,41,35,36,44,41,29,46,26,37,32,39.66666667
5352,46,46,36,45,27,41,35,36,44,41,29,46,26,37,40.66666667
5353,35,46,46,36,45,27,41,35,36,44,41,29,46,26,41
5354,54,35,46,46,36,45,27,41,35,36,44,41,29,46,39.66666667
5355,46,54,35,46,46,36,45,27,41,35,36,44,41,29,39
5356,45,46,54,35,46,46,36,45,27,41,35,36,44,41,41
5357,51,45,46,54,35,46,46,36,45,27,41,35,36,44,33
5358,45,51,45,46,54,35,46,46,36,45,27,41,35,36,44.66666667
5359,36,45,51,45,46,54,35,46,46,36,45,27,41,35,38.33333333
5360,32,36,45,51,45,46,54,35,46,46,36,45,27,41,40.66666667
5361,48,32,36,45,51,45,46,54,35,46,46,36,45,27,41.33333333
5362,45,48,32,36,45,51,45,46,54,35,46,46,36,45,43
5363,34,45,48,32,36,45,51,45,46,54,35,46,46,36,35.33333333
5364,41,34,45,48,32,36,45,51,45,46,54,35,46,46,44.66666667
5365,57,41,34,45,48,32,36,45,51,45,46,54,35,46,38.33333333
5366,36,57,41,34,45,48,32,36,45,51,45,46,54,35,44.66666667
5367,43,36,57,41,34,45,48,32,36,45,51,45,46,54,43.66666667
5368,38,43,36,57,41,34,45,48,32,36,45,51,45,46,44.66666667
5369,43,38,43,36,57,41,34,45,48,32,36,45,51,45,43
5370,57,43,38,43,36,57,41,34,45,48,32,36,45,51,44.66666667
5371,49,57,43,38,43,36,57,41,34,45,48,32,36,45,47.33333333
5372,54,49,57,43,38,43,36,57,41,34,45,48,32,36,51.66666667
5373,49,54,49,57,43,38,43,36,57,41,34,45,48,32,49
5374,46,49,54,49,57,43,38,43,36,57,41,34,45,48,43.66666667
5375,62,46,49,54,49,57,43,38,43,36,57,41,34,45,49.66666667
5376,49,62,46,49,54,49,57,43,38,43,36,57,41,34,55.66666667
5377,59,49,62,46,49,54,49,57,43,38,43,36,57,41,57
5378,53,59,49,62,46,49,54,49,57,43,38,43,36,57,57.33333333
5379,68,53,59,49,62,46,49,54,49,57,43,38,43,36,54.66666667
5380,45,68,53,59,49,62,46,49,54,49,57,43,38,43,63.33333333
5381,77,45,68,53,59,49,62,46,49,54,49,57,43,38,50.66666667
5382,66,77,45,68,53,59,49,62,46,49,54,49,57,43,60.66666667
5383,60,66,77,45,68,53,59,49,62,46,49,54,49,57,56
