id,time,zhonghnanindown
5360,2016/1/8 14:35,36
5361,2016/1/8 14:40,32
5362,2016/1/8 14:45,48
5363,2016/1/8 14:50,45
5364,2016/1/8 14:55,34
5365,2016/1/8 15:00,41
5366,2016/1/8 15:05,57
5367,2016/1/8 15:10,36
5368,2016/1/8 15:15,43
5369,2016/1/8 15:20,38
5370,2016/1/8 15:25,43
5371,2016/1/8 15:30,57
5372,2016/1/8 15:35,49
5373,2016/1/8 15:40,54
5374,2016/1/8 15:45,49
5375,2016/1/8 15:50,46
5376,2016/1/8 15:55,62
5377,2016/1/8 16:00,49
5378,2016/1/8 16:05,59
5379,2016/1/8 16:10,53
5380,2016/1/8 16:15,68
5381,2016/1/8 16:20,45
5382,2016/1/8 16:25,77
5383,2016/1/8 16:30,66
5384,2016/1/8 16:35,60
5385,2016/1/8 16:40,68
5386,2016/1/8 16:45,58
5387,2016/1/8 16:50,62
5388,2016/1/8 16:55,54
5389,2016/1/8 17:00,38
5390,2016/1/8 17:05,48
5391,2016/1/8 17:10,43
5392,2016/1/8 17:15,36
5393,2016/1/8 17:20,45
5394,2016/1/8 17:25,34
5395,2016/1/8 17:30,39
5396,2016/1/8 17:35,35
5397,2016/1/8 17:40,42
5398,2016/1/8 17:45,33
5399,2016/1/8 17:50,45
5400,2016/1/8 17:55,49
5401,2016/1/8 18:00,46
5402,2016/1/8 18:05,40
5403,2016/1/8 18:10,52
5404,2016/1/8 18:15,47
5405,2016/1/8 18:20,29
5406,2016/1/8 18:25,39
5407,2016/1/8 18:30,37
5408,2016/1/8 18:35,44
5409,2016/1/8 18:40,29
5410,2016/1/8 18:45,34
5411,2016/1/8 18:50,29
5412,2016/1/8 18:55,26
5413,2016/1/8 19:00,24
5414,2016/1/8 19:05,18
5415,2016/1/8 19:10,25
5416,2016/1/8 19:15,20
5417,2016/1/8 19:20,24
5418,2016/1/8 19:25,30
5419,2016/1/8 19:30,21
5420,2016/1/8 19:35,19
5421,2016/1/8 19:40,22
5422,2016/1/8 19:45,16
5423,2016/1/8 19:50,22
5424,2016/1/8 19:55,20
5425,2016/1/8 20:00,18
5426,2016/1/8 20:05,20
5427,2016/1/8 20:10,15
5428,2016/1/8 20:15,22
5429,2016/1/8 20:20,19
5430,2016/1/8 20:25,19
5431,2016/1/8 20:30,18
5432,2016/1/8 20:35,16
5433,2016/1/8 20:40,11
5434,2016/1/8 20:45,21
5435,2016/1/8 20:50,15
5436,2016/1/8 20:55,17
5437,2016/1/8 21:00,20
5438,2016/1/8 21:05,12
5439,2016/1/8 21:10,14
5440,2016/1/8 21:15,17
5441,2016/1/8 21:20,10
5442,2016/1/8 21:25,17
5443,2016/1/8 21:30,13
5444,2016/1/8 21:35,6
5445,2016/1/8 21:40,8
5446,2016/1/8 21:45,7
5447,2016/1/8 21:50,10
